,Genome ID,Genus,Species,Pathovar,Strain,LIN
32,128,Pseudomonas,syringae,No,ICMP_11292,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
33,129,Pseudomonas,syringae,pv._theae,ICMP_3923,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
34,130,Pseudomonas,syringae,pv._actinidiae,ICMP_18883,"0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0"
35,131,Pseudomonas,syringae,pv._actinidiae,ICMP_19100,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0"
36,132,Pseudomonas,syringae,pv._actinidiae,ICMP_19102,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0"
37,133,Pseudomonas,syringae,No,USA011,"0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
38,134,Pseudomonas,syringae,pv._alisalensis,ICMP15200,"0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,135,Pseudomonas,syringae,pv._aceris,ICMP2802,"0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0"
40,136,Pseudomonas,syringae,pv._atrofaciens,ICMP4394,"0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
41,137,Pseudomonas,syringae,pv._broussonetiae,ICMP13650,"0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0"
42,138,Pseudomonas,syringae,pv._cerasicola,ICMP17524,"0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0"
43,139,Pseudomonas,syringae,pv._castaneae,ICMP9419,"0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0"
44,140,Pseudomonas,syringae,pv._cunninghamiae,ICMP11894,"0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0"
45,141,Pseudomonas,syringae,pv._daphniphylli,ICMP9757,"0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0"
46,142,Pseudomonas,syringae,pv._lapsa,ICMP3947,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0"
47,143,Pseudomonas,syringae,pv._papulans,ICMP4048,"0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0"
48,144,Pseudomonas,syringae,pv._rhaphiolepidis,ICMP9756,"0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
49,145,Pseudomonas,syringae,pv._solidagae,ICMP16925,"0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0"
50,146,Pseudomonas,syringae,pv._spinaceae,ICMP16929,"0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
51,147,Pseudomonas,syringae,pv._syringae,ICMP3023,"0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
52,148,Pseudomonas,syringae,pv._theae,ICMP3923,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0"
53,149,Pseudomonas,syringae,pv._aptata,ICMP459,"0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0"
54,150,Pseudomonas,syringae,pv._actinidiae,ICMP_19455,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0"
55,151,Pseudomonas,syringae,pv._cilantro,0788_9,"0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
56,152,Pseudomonas,syringae,pv._syringae,A2,"0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0"
57,153,Pseudomonas,syringae,pv._syringae,B48,"0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0"
58,154,Pseudomonas,syringae,No,UMAF0158,"0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0"
59,155,Pseudomonas,syringae,pv._aceris,A10853,"0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0"
60,156,Pseudomonas,syringae,pv._actinidiae,MAFF_212056,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0"
61,157,Pseudomonas,syringae,No,Riq4,"0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
62,158,Pseudomonas,syringae,No,KCTC_12500,"0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0"
63,159,Pseudomonas,syringae,pv._syringae,HS191,"0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
64,160,Pseudomonas,syringae,pv._syringae,B301D,"0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0"
65,161,Pseudomonas,syringae,pv._syringae,CRAFRU11,"0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0"
66,162,Pseudomonas,syringae,pv._syringae,CRAFRU12,"0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
67,163,Pseudomonas,syringae,pv._actinidiae,ICMP_19096,"0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0"
68,164,Pseudomonas,syringae,pv._actinidiae,ICMP_18804,"0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0"
69,165,Pseudomonas,syringae,pv._papulans,CFBP_1754,"0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0"
70,166,Pseudomonas,syringae,pv._syringae,41a,"0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0"
71,167,Pseudomonas,syringae,No,B576,"0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0"
72,168,Pseudomonas,syringae,pv._syringae,Alf3,"0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0"
73,169,Pseudomonas,syringae,No,CEB003,"0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
74,170,Pseudomonas,syringae,No,GAW0119,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
75,171,Pseudomonas,syringae,No,UB0390,"0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
76,172,Pseudomonas,syringae,pv._atrofaciens,LMG_5095,"0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0"
77,173,Pseudomonas,syringae,pv._actinidiae,ICMP_9617,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0"
78,174,Pseudomonas,syringae,No,DSM_10604,"0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0"
79,175,Pseudomonas,syringae,pv._syringae,B301D-R,"0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0"
80,176,Pseudomonas,syringae,No,CC1557,"0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
81,177,Pseudomonas,syringae,No,CC1416,"0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
82,178,Pseudomonas,syringae,No,CC1417,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
83,179,Pseudomonas,syringae,No,CC1458,"0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
84,180,Pseudomonas,syringae,No,CC1466,"0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
85,181,Pseudomonas,syringae,No,CC1513,"0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
86,182,Pseudomonas,syringae,No,CC1524,"0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
87,183,Pseudomonas,syringae,No,CC1543,"0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0"
88,184,Pseudomonas,syringae,No,CC1544,"0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
89,185,Pseudomonas,syringae,No,CC1559,"0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0"
90,186,Pseudomonas,syringae,No,CC1583,"0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
91,187,Pseudomonas,syringae,No,CC1629,"0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
92,188,Pseudomonas,syringae,No,CC1630,"0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0"
93,189,Pseudomonas,syringae,No,CC440,"0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0"
94,190,Pseudomonas,syringae,No,CC457,"0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0"
95,191,Pseudomonas,syringae,No,CC94,"0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0"
96,192,Pseudomonas,syringae,pv._pisi,PP1,"0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0"
97,193,Pseudomonas,syringae,pv._syringae,1212,"0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0"
98,194,Pseudomonas,syringae,No,UB303,"0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0"
99,195,Pseudomonas,syringae,No,USA007,"0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0"
100,196,Pseudomonas,syringae,pv._atrofaciens,DSM_50255,"0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0"
101,197,Pseudomonas,syringae,pv._actinidiae,Shaanxi_M228,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0"
102,198,Pseudomonas,syringae,No,UB246,"0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
103,199,Pseudomonas,syringae,pv._theae,NCPPB_2598,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0"
104,200,Pseudomonas,syringae,pv._actinidiae,ICMP_19071,"0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0"
105,201,Pseudomonas,syringae,pv._actinidiae,ICMP_19073,"0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0"
106,202,Pseudomonas,syringae,pv._actinidiae,ICMP_19103,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0"
107,203,Pseudomonas,syringae,pv._actinidiae,ICMP_19098,"0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0"
108,204,Pseudomonas,syringae,pv._actinidiae,ICMP_19101,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0"
109,205,Pseudomonas,syringae,pv._actinidiae,ICMP_19079,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0"
110,206,Pseudomonas,syringae,pv._actinidiae,ICMP_18807,"0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0"
111,207,Pseudomonas,syringae,pv._actinidiae,ICMP_9855,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0"
112,208,Pseudomonas,syringae,pv._actinidiae,ICMP_19070,"0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0"
113,209,Pseudomonas,syringae,pv._actinidiae,ICMP_19068,"0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0"
114,210,Pseudomonas,syringae,pv._actinidiae,ICMP_19097,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
115,211,Pseudomonas,syringae,pv._actinidiae,ICMP_19094,"0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0"
116,212,Pseudomonas,syringae,pv._actinidiae,ICMP_19095,"0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0"
117,213,Pseudomonas,syringae,pv._actinidiae,ICMP_19099,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0"
118,214,Pseudomonas,syringae,pv._actinidiae,ICMP_19104,"0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0"
119,215,Pseudomonas,syringae,pv._actinidiae,ICMP_19072,"0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0"
120,216,Pseudomonas,syringae,pv._actinidiae,ICMP_18886,"0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0"
121,217,Pseudomonas,syringae,pv._actinidiae,ICMP_18801,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0"
122,218,Pseudomonas,syringae,pv._syringae,SM,"0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0"
123,219,Pseudomonas,syringae,No,mixed,"0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0"
124,220,Pseudomonas,syringae,pv._actinidiae,ICMP_18800,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0"
125,221,Pseudomonas,syringae,pv._actinidiae,ICMP_18804,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0"
126,222,Pseudomonas,syringae,No,ICMP_18806,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0"
127,223,Pseudomonas,syringae,pv._actinidiae,ICMP_18807,"0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0"
128,224,Pseudomonas,syringae,pv._actinidiae,ICMP_19439,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0"
129,225,Pseudomonas,syringae,pv._actinidiae,ICMP_9853,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0"
130,226,Pseudomonas,syringae,pv._actinidiae,Shaanxi_M7,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0"
131,227,Pseudomonas,syringae,pv._actinidiae,TP1,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0"
132,228,Pseudomonas,syringae,pv._actinidiae,TP6-1,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2"
133,229,Pseudomonas,syringae,pv._actinidiae,ICMP_18744,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0"
134,230,Pseudomonas,syringae,No,BRIP34876,"0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0"
135,231,Pseudomonas,syringae,No,BRIP34881,"0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0"
136,232,Pseudomonas,syringae,No,BRIP39023,"0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0"
137,233,Pseudomonas,syringae,pv._syringae,B64,"0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0"
138,234,Pseudomonas,syringae,pv._avellanae,ISPaVe013,"0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0"
139,235,Pseudomonas,syringae,pv._avellanae,ISPaVe037,"0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0"
140,236,Pseudomonas,syringae,pv._panici,LMG_2367,"0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0"
141,237,Pseudomonas,syringae,pv._theae,NCPPB_2598,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0"
142,238,Pseudomonas,syringae,pv._actinidiae,CFBP_7286,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0"
143,239,Pseudomonas,syringae,pv._actinidiae,KW41,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0"
144,240,Pseudomonas,syringae,pv._actinidiae,PA459,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0"
145,241,Pseudomonas,syringae,pv._actinidiae,CH2010-6,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0"
146,242,Pseudomonas,syringae,pv._actinidiae,NCPPB_3871,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0"
147,243,Pseudomonas,syringae,pv._actinidiae,CRAFRU8.43,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0"
148,244,Pseudomonas,syringae,pv._actinidiae,NCPPB_3739,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0"
149,245,Pseudomonas,syringae,pv._syringae,642,"0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0"
150,246,Pseudomonas,syringae,pv._syringae,FF5,"0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0"
151,247,Pseudomonas,syringae,pv._japonica,M301072,"0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0"
152,248,Pseudomonas,syringae,pv._pisi,1704B,"0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0"
153,249,Pseudomonas,syringae,No,Cit_7,"0,0,0,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0"
154,250,Pseudomonas,syringae,pv._actinidiae,M302091,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0"
155,251,Pseudomonas,syringae,pv._aptata,DSM_50252,"0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0"
156,252,Pseudomonas,syringae,pv._aceris,M302273,"0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0"
157,253,Pseudomonas,syringae,pv._syringae,B728a,"0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0"
158,254,Pseudomonas,syringae,pv._tomato,A9,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0"
159,255,Pseudomonas,syringae,pv._tomato,407,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0"
160,256,Pseudomonas,syringae,pv._tomato,ICMP2844,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
161,257,Pseudomonas,syringae,pv._tomato,NYS-T1,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0"
162,258,Pseudomonas,syringae,pv._tomato,T1,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0"
163,259,Pseudomonas,syringae,pv._tomato,K40,"0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0"
164,260,Pseudomonas,syringae,pv._tomato,Max13,"0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0"
165,261,Pseudomonas,syringae,pv._tomato,NCPPB_1108,"0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0"
166,262,Pseudomonas,amygdali,pv._aesculi,ICMP8947,"0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0"
167,263,Pseudomonas,amygdali,No,ICMP3918,"0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
168,264,Pseudomonas,syringae,pv._apii,ICMP2814,"0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0"
169,265,Pseudomonas,coronafaciens,pv._atropurpurea,ICMP4457,"0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
170,266,Pseudomonas,syringae,pv._antirrhini,ICMP4303,"0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0"
171,267,Pseudomonas,syringae,pv._berberidis,ICMP4116,"0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0"
172,268,Pseudomonas,caricapapayae,No,ICMP2855,"0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
173,269,Pseudomonas,cannabina,pv._Cannabina,ICMP2823,"0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
174,270,Pseudomonas,amygdali,pv._ciccaronei,ICMP5710,"0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0"
175,271,Pseudomonas,syringae,pv._coriandricola,ICMP12471,"0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0"
176,272,Pseudomonas,congelans,No,ICMP19117,"0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0"
177,273,Pseudomonas,syringae,pv._coryli,ICMP17001,"0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0"
178,274,Pseudomonas,amygdali,pv._dendropanacis,ICMP9150,"0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0"
179,275,Pseudomonas,syringae,pv._delphinii,ICMP529,"0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0"
180,276,Pseudomonas,amygdali,pv._eriobotryae,ICMP4455,"0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0"
181,277,Pseudomonas,ficuserectae,No,ICMP7848,"0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
182,278,Pseudomonas,coronafaciens,pv._garcae,ICMP4323,"0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
183,279,Pseudomonas,savastanoi,pv._glycinea,ICMP2189,"0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
184,280,Pseudomonas,syringae,pv._helianthi,ICMP4531,"0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
185,281,Pseudomonas,amygdali,pv._hibisci,ICMP9623,"0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0"
186,282,Pseudomonas,amygdali,pv._photiniae,ICMP7840,"0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0"
187,283,Pseudomonas,amygdali,pv._lachrymans,ICMP3507,"0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0"
188,284,Pseudomonas,syringae,pv._maculicola,ICMP3935,"0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0"
189,285,Pseudomonas,amygdali,pv._mellea,ICMP5711,"0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0"
190,286,Pseudomonas,meliae,No,ICMP6289,"0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0"
191,287,Pseudomonas,amygdali,pv._mori,ICMP4331,"0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
192,288,Pseudomonas,amygdali,pv._myricae,ICMP7118,"0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
193,289,Pseudomonas,savastanoi,pv._nerii,ICMP16943,"0,0,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0"
194,290,Pseudomonas,coronafaciens,pv._oryzae,ICMP9088,"0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
